country,level1_id,level2_id,name,label
PHL,187,425,5571,Cabcabon
PHL,189,423,5332,Cabinet
PHL,141,306,1775,Cabitoonan
GTM,21,126,1173,Cabo Tres Puntas
PHL,144,295,1878,Cabra
PHL,143,289,1684,Cabugan
PHL,141,287,1758,Cabugao
PHL,143,299,2193,Cabulotan
PHL,142,322,2124,Cabunga-An
PHL,172,376,4513,Cabunga-An
PHL,186,407,5122,Cabunga-An
PHL,178,420,5256,Cabutan
BRA,10,343,4144,Caçada
HND,19,161,2783,Cacao
BRA,10,145,3958,Cachoeira
BRA,10,343,4845,Cachoeira
BRA,10,145,3959,Cachoeirinha
PHL,172,377,4523,Caculangan
PHL,145,335,2932,Cadajug
PHL,148,282,2628,Cadong
BRA,10,139,3996,Cafezal
BRA,10,344,4313,Cafezal 
BRA,10,343,4134,Cafezinho
PHL,172,378,4537,Cagaut
PHL,184,400,4946,Cagbalogo
PHL,142,321,2091,Cagcagan
PHL,172,374,4452,Cagdara-O
PHL,184,396,4895,Caglate
PHL,148,279,2746,Cagliliog
PHL,190,433,5488,Caguisan
PHL,172,374,4453,Cagusu-an
PHL,189,428,5358,Cahayagan
PHL,147,309,1838,Cainglet
BRA,10,345,4235,Cajacá
BRA,10,136,3926,Caju
BRA,10,134,4102,Caju-una
BRA,10,139,3997,Cajueiro
BRA,10,137,4047,Cajueiro
HND,18,165,2981,Calabash Bight
BRA,10,344,4319,Calafate
PHL,178,404,5138,Calag-Itan
PHL,143,285,1652,Calagcalag
PHL,140,291,2620,Calagdaan
PHL,147,314,2002,Calais (Kalines)
PHL,145,438,5382,Calala
PHL,189,423,5535,Calamba
PHL,147,309,1837,Calapan
PHL,190,432,5467,Calasaguen
PHL,143,290,2599,Calasga-an
PHL,190,434,5491,Calatagbak
PHL,190,433,5478,Calategas
PHL,178,413,5186,Calian
PHL,189,423,5333,Calibunan
PHL,178,413,5189,Caligangan
PHL,147,315,1899,Caliran
PHL,145,328,2168,Callan
PHL,142,329,2302,Calmante
PHL,189,424,5337,Caloc-an
PHL,148,279,2200,Caloco
PHL,190,434,5501,Calumpang
PHL,173,381,5692,Caluwayan
PHL,184,396,4901,Camagong
PHL,189,427,5353,Camagong
PHL,178,420,5265,Camang
PHL,172,378,4538,Camanga
PHL,145,337,2923,Camangahan
BRA,10,145,3960,Camapu Miri
BRA,10,346,4330,Camará
