country,level1_id,level2_id,name,label
IDN,14,3,98,Kance Bungi
IDN,14,15,4662,Kancinaa
IDN,14,9,181,Kangkunawe
PHL,186,412,5161,Kanihaan
PHL,144,294,1868,Kanluran
PHL,184,395,4891,Kanlurang Calutan
PHL,184,395,4972,Kanlurang Maligaya
PHL,142,320,1644,Kantabogon
IDN,14,16,4835,Kaofe
IDN,109,175,4797,Kapataran
IDN,109,175,4798,Kapataran Satu
IDN,15,105,1128,Kapatlap
IDN,14,16,4831,Kapoa
IDN,14,16,4830,Kapoa Barat
IDN,14,10,36,Kapota
IDN,14,10,37,Kapota Utara
IDN,14,16,82,Karae
IDN,179,390,5038,Karlutukara
IDN,109,175,4799,Karor
IDN,109,174,4763,Karungo
IDN,14,15,71,Karya Jaya
IDN,14,9,4685,Kasakamu
PHL,147,317,2189,Kasigpitan
IDN,14,4,4616,Kasulatombi
IDN,14,10,8,Kaswari
PHL,143,290,2603,Katacgahan (Tacgahan)
IDN,14,16,89,Katampe
IDN,14,9,4827,Katela
PHL,141,287,5300,Katipunan
