country,level1_id,name,label
PHL,190,429,Aborlan
PHL,177,386,Abuyog
PHL,184,395,Agdangan 
PHL,184,396,Alabat
PHL,147,331,Alicia
PHL,142,320,Aloguinsan
IDN,179,389,Ambon
PHL,143,280,Amlan
PHL,178,405,Anahawan
MOZ,25,445,Angoche
PHL,145,437,Anini-Y
BRA,10,343,Augusto Corrêa
PHL,143,285,Ayungon
PHL,142,298,Badian
PHL,143,290,Bais City
